Date,CustomerID,Product,ShippingAddress,PaymentMethod,OrderStatus,CouponCode,ReferralSource,TotalPrice,TotalPrice_computed,Total_same
2023-01-29,C34416,Monitor,633 Main St,Online,Pending,SAVE10,Google,99.24,99.24,True
2025-04-09,C42372,Phone,755 Main St,Debit Card,Cancelled,FREESHIP,Referral,1093.0,1093.0,True
2024-10-30,C17470,Laptop,956 Main St,Online,Delivered,WINTER15,Referral,461.9,461.9,True
2024-07-24,C42577,Monitor,709 Main St,Debit Card,Delivered,WINTER15,Email,399.98,399.98,True
2024-03-06,C21944,Laptop,296 Main St,Online,Delivered,,Referral,297.75,297.75,True
2024-02-22,C97593,Printer,881 Main St,Online,Shipped,WINTER15,Google,472.74,472.74,True
2023-11-21,C59823,Phone,568 Main St,Online,Pending,,Email,640.28,640.28,True
2024-09-20,C33260,Desk,930 Main St,Credit Card,Delivered,SAVE10,Referral,1270.59,1270.59,True
2025-03-22,C44267,Monitor,895 Main St,Online,Pending,SAVE10,Referral,853.4,853.4,True
2023-06-30,C26445,Chair,996 Main St,Debit Card,Returned,,Facebook,1500.24,1500.24,True
2023-05-01,C12388,Tablet,830 Main St,Cash,Delivered,,Email,2683.6,2683.6,True
2023-06-05,C52184,Chair,912 Main St,Online,Cancelled,WINTER15,Facebook,162.77,162.77,True
2023-01-07,C67195,Chair,926 Main St,Credit Card,Pending,WINTER15,Facebook,2306.08,2306.08,True
2024-12-07,C50304,Monitor,128 Main St,Online,Shipped,SAVE10,Facebook,930.3,930.3,True
2025-05-08,C59337,Laptop,465 Main St,Debit Card,Pending,,Facebook,1068.86,1068.86,True
2024-10-14,C10054,Laptop,409 Main St,Cash,Returned,SAVE10,Instagram,153.48,153.48,True
2024-12-19,C15924,Laptop,549 Main St,Debit Card,Delivered,SAVE10,Google,245.89,245.89,True
2025-02-27,C96664,Printer,666 Main St,Credit Card,Delivered,SAVE10,Referral,769.38,769.38,True
2023-08-20,C84766,Desk,267 Main St,Online,Delivered,FREESHIP,Instagram,688.04,688.04,True
2023-12-05,C20212,Monitor,657 Main St,Gift Card,Pending,FREESHIP,Instagram,1834.35,1834.35,True
2024-05-06,C28712,Printer,980 Main St,Cash,Cancelled,,Instagram,303.32,303.32,True
2023-12-14,C60572,Chair,871 Main St,Online,Cancelled,,Instagram,1497.63,1497.63,True
2025-04-21,C73225,Phone,996 Main St,Gift Card,Returned,FREESHIP,Referral,1100.36,1100.36,True
2024-02-10,C17388,Chair,157 Main St,Debit Card,Returned,SAVE10,Facebook,317.25,317.25,True
2024-06-26,C43212,Monitor,223 Main St,Debit Card,Pending,FREESHIP,Instagram,2200.56,2200.56,True
2023-07-19,C38134,Desk,323 Main St,Credit Card,Returned,FREESHIP,Email,419.88,419.88,True
2023-08-26,C12408,Monitor,464 Main St,Debit Card,Shipped,,Google,161.54,161.54,True
2023-10-07,C11985,Printer,633 Main St,Credit Card,Shipped,SAVE10,Email,30.44,30.44,True
2023-07-31,C96494,Tablet,446 Main St,Online,Cancelled,FREESHIP,Instagram,179.22,179.22,True
2024-12-30,C36778,Tablet,434 Main St,Cash,Returned,SAVE10,Facebook,388.33,388.33,True
2024-09-08,C30513,Tablet,232 Main St,Online,Returned,SAVE10,Facebook,586.44,586.44,True
2024-05-18,C67551,Phone,512 Main St,Online,Returned,FREESHIP,Google,1955.12,1955.12,True
2025-03-27,C48120,Chair,623 Main St,Online,Pending,WINTER15,Email,280.25,280.25,True
2025-06-24,C95984,Printer,565 Main St,Online,Cancelled,,Facebook,1033.2,1033.2,True
2023-05-21,C54298,Tablet,566 Main St,Cash,Cancelled,WINTER15,Referral,1437.63,1437.63,True
2023-01-22,C88036,Printer,842 Main St,Cash,Returned,SAVE10,Instagram,1571.35,1571.35,True
2023-01-15,C60190,Phone,202 Main St,Gift Card,Cancelled,SAVE10,Google,1898.76,1898.76,True
2024-09-11,C97603,Chair,811 Main St,Online,Shipped,,Facebook,2373.08,2373.08,True
2024-08-21,C39256,Desk,634 Main St,Debit Card,Returned,FREESHIP,Referral,417.1,417.1,True
2024-03-24,C61618,Desk,104 Main St,Cash,Delivered,FREESHIP,Facebook,488.8,488.8,True
2023-08-22,C36497,Desk,691 Main St,Debit Card,Pending,WINTER15,Email,86.3,86.3,True
2025-02-02,C96695,Chair,813 Main St,Debit Card,Shipped,WINTER15,Referral,564.86,564.86,True
2025-06-25,C49720,Printer,752 Main St,Debit Card,Cancelled,FREESHIP,Facebook,391.83,391.83,True
2023-12-30,C97735,Monitor,385 Main St,Credit Card,Delivered,,Instagram,408.5,408.5,True
2024-11-15,C18104,Chair,715 Main St,Cash,Cancelled,SAVE10,Referral,635.9,635.9,True
2024-12-09,C25587,Printer,440 Main St,Debit Card,Cancelled,,Google,48.4,48.4,True
2023-12-11,C41598,Chair,709 Main St,Credit Card,Pending,FREESHIP,Email,1472.76,1472.76,True
2023-05-11,C43338,Monitor,552 Main St,Online,Shipped,,Referral,1435.95,1435.95,True
2023-05-26,C25123,Desk,384 Main St,Gift Card,Pending,FREESHIP,Instagram,629.21,629.21,True
2025-06-10,C37454,Monitor,923 Main St,Credit Card,Pending,,Referral,1303.35,1303.35,True
2024-12-22,C19451,Tablet,942 Main St,Gift Card,Returned,,Facebook,2357.76,2357.76,True
2023-05-03,C17269,Monitor,129 Main St,Gift Card,Cancelled,,Facebook,1733.8,1733.8,True
2023-06-24,C25382,Phone,622 Main St,Cash,Pending,,Instagram,454.35,454.35,True
2023-09-26,C80651,Tablet,917 Main St,Debit Card,Delivered,SAVE10,Email,1194.51,1194.51,True
2024-03-31,C58638,Laptop,239 Main St,Cash,Cancelled,WINTER15,Email,1531.52,1531.52,True
2024-05-24,C50121,Phone,348 Main St,Credit Card,Returned,,Google,583.18,583.18,True
2024-08-06,C32029,Printer,146 Main St,Debit Card,Delivered,FREESHIP,Instagram,701.44,701.44,True
2025-03-10,C76700,Tablet,103 Main St,Online,Shipped,,Facebook,623.82,623.82,True
2023-06-27,C29041,Phone,591 Main St,Online,Returned,,Facebook,1768.68,1768.68,True
2023-06-08,C29314,Monitor,496 Main St,Cash,Shipped,FREESHIP,Email,788.6,788.6,True
2024-01-05,C65799,Tablet,971 Main St,Debit Card,Shipped,SAVE10,Google,2260.8,2260.8,True
2023-08-22,C15681,Laptop,989 Main St,Credit Card,Cancelled,,Referral,2161.64,2161.64,True
2023-08-28,C64160,Monitor,967 Main St,Online,Shipped,WINTER15,Instagram,330.98,330.98,True
2024-09-09,C14553,Tablet,768 Main St,Cash,Delivered,FREESHIP,Email,440.19,440.19,True
2024-06-19,C88205,Printer,447 Main St,Online,Cancelled,FREESHIP,Referral,3215.15,3215.15,True
2024-10-10,C91245,Tablet,915 Main St,Cash,Shipped,SAVE10,Facebook,675.33,675.33,True
2025-06-05,C75439,Desk,318 Main St,Gift Card,Cancelled,,Google,344.43,344.43,True
2025-02-25,C17181,Printer,291 Main St,Credit Card,Cancelled,FREESHIP,Google,2276.65,2276.65,True
2023-09-18,C36540,Chair,611 Main St,Gift Card,Delivered,SAVE10,Email,728.32,728.32,True
2023-03-15,C98216,Laptop,196 Main St,Cash,Shipped,WINTER15,Referral,2463.75,2463.75,True
2024-06-10,C29568,Printer,203 Main St,Online,Shipped,FREESHIP,Facebook,194.44,194.44,True
2023-01-14,C97262,Desk,837 Main St,Credit Card,Returned,,Referral,1724.04,1724.04,True
2023-02-11,C79821,Chair,781 Main St,Gift Card,Returned,WINTER15,Instagram,531.18,531.18,True
2023-03-24,C76761,Printer,839 Main St,Debit Card,Returned,,Referral,470.04,470.04,True
2024-06-01,C93007,Phone,103 Main St,Gift Card,Delivered,,Instagram,465.66,465.66,True
2025-01-21,C15624,Tablet,922 Main St,Debit Card,Pending,,Email,3097.6,3097.6,True
2023-01-14,C70921,Printer,533 Main St,Debit Card,Pending,,Email,457.08,457.08,True
2025-04-12,C30477,Printer,717 Main St,Debit Card,Cancelled,WINTER15,Email,201.58,201.58,True
2023-02-17,C74866,Phone,743 Main St,Online,Delivered,,Facebook,1994.37,1994.37,True
2023-11-25,C15283,Printer,152 Main St,Cash,Shipped,,Google,381.02,381.02,True
2023-03-08,C18037,Laptop,944 Main St,Gift Card,Cancelled,FREESHIP,Email,140.68,140.68,True
2025-01-25,C62656,Phone,514 Main St,Credit Card,Cancelled,SAVE10,Email,873.72,873.72,True
2024-07-30,C65744,Phone,647 Main St,Gift Card,Delivered,FREESHIP,Email,582.04,582.04,True
2024-10-24,C72290,Printer,810 Main St,Gift Card,Cancelled,,Facebook,556.2,556.2,True
2023-09-08,C73514,Desk,126 Main St,Credit Card,Cancelled,SAVE10,Email,1395.15,1395.15,True
2023-03-27,C16775,Printer,848 Main St,Gift Card,Shipped,FREESHIP,Instagram,3353.75,3353.75,True
2024-12-28,C33099,Laptop,522 Main St,Gift Card,Delivered,WINTER15,Email,241.9,241.9,True
2023-09-17,C51157,Desk,131 Main St,Gift Card,Shipped,FREESHIP,Referral,1778.61,1778.61,True
2024-04-21,C74562,Tablet,388 Main St,Gift Card,Pending,FREESHIP,Instagram,220.77,220.77,True
2025-05-07,C95271,Desk,620 Main St,Online,Cancelled,FREESHIP,Google,927.66,927.66,True
2023-01-01,C81366,Monitor,423 Main St,Online,Cancelled,WINTER15,Referral,410.6,410.6,True
2024-01-17,C65905,Laptop,605 Main St,Cash,Shipped,FREESHIP,Instagram,950.4,950.4,True
2025-01-27,C77272,Monitor,115 Main St,Online,Pending,SAVE10,Google,2492.4,2492.4,True
2023-11-27,C32580,Phone,122 Main St,Online,Shipped,SAVE10,Facebook,1874.95,1874.95,True
2023-03-19,C47761,Printer,109 Main St,Credit Card,Cancelled,WINTER15,Facebook,1165.4,1165.4,True
2023-03-08,C49187,Tablet,593 Main St,Gift Card,Cancelled,WINTER15,Referral,535.5,535.5,True
2023-10-09,C27898,Printer,807 Main St,Gift Card,Shipped,FREESHIP,Google,2513.55,2513.55,True
2025-06-11,C14683,Desk,187 Main St,Debit Card,Shipped,FREESHIP,Referral,1069.34,1069.34,True
2023-04-11,C58108,Tablet,986 Main St,Cash,Cancelled,WINTER15,Instagram,2517.36,2517.36,True
2023-11-30,C89822,Desk,673 Main St,Cash,Cancelled,FREESHIP,Instagram,410.78,410.78,True
2024-04-15,C96787,Laptop,588 Main St,Gift Card,Shipped,,Facebook,1066.04,1066.04,True
2023-07-06,C86064,Desk,727 Main St,Online,Delivered,,Instagram,834.12,834.12,True
2024-07-28,C97148,Printer,563 Main St,Online,Pending,,Google,1135.16,1135.16,True
2024-11-06,C91099,Phone,758 Main St,Credit Card,Shipped,SAVE10,Email,1025.3,1025.3,True
2025-05-03,C55606,Desk,353 Main St,Gift Card,Shipped,FREESHIP,Google,1102.0,1102.0,True
2023-08-10,C71486,Desk,365 Main St,Debit Card,Shipped,,Google,1407.96,1407.96,True
2023-02-17,C86408,Tablet,244 Main St,Gift Card,Delivered,FREESHIP,Google,84.28,84.28,True
2023-10-27,C52751,Laptop,427 Main St,Debit Card,Shipped,FREESHIP,Facebook,1055.72,1055.72,True
2025-01-22,C29059,Desk,513 Main St,Online,Cancelled,WINTER15,Facebook,1503.9,1503.9,True
2023-01-08,C72862,Tablet,606 Main St,Gift Card,Pending,,Instagram,84.8,84.8,True
2023-03-28,C96257,Tablet,583 Main St,Credit Card,Shipped,WINTER15,Email,1803.0,1803.0,True
2025-06-20,C87432,Chair,636 Main St,Debit Card,Cancelled,SAVE10,Google,1208.2,1208.2,True
2025-06-23,C16253,Laptop,583 Main St,Cash,Pending,,Email,399.4,399.4,True
2023-08-04,C79909,Printer,642 Main St,Gift Card,Shipped,SAVE10,Referral,137.62,137.62,True
2024-04-27,C73370,Laptop,595 Main St,Gift Card,Cancelled,SAVE10,Instagram,44.35,44.35,True
2024-11-26,C50682,Monitor,598 Main St,Credit Card,Delivered,,Google,501.96,501.96,True
2023-12-21,C21905,Tablet,478 Main St,Debit Card,Pending,WINTER15,Google,298.06,298.06,True
2023-04-10,C61440,Phone,714 Main St,Cash,Returned,,Email,583.9,583.9,True
2025-05-31,C33110,Chair,388 Main St,Online,Delivered,FREESHIP,Email,1584.42,1584.42,True
2023-11-18,C80004,Printer,151 Main St,Cash,Cancelled,WINTER15,Instagram,2052.42,2052.42,True
2023-09-06,C86374,Desk,573 Main St,Cash,Pending,WINTER15,Email,1363.85,1363.85,True
2024-06-13,C66521,Chair,933 Main St,Online,Shipped,,Referral,1600.28,1600.28,True
2023-08-04,C63365,Desk,895 Main St,Credit Card,Pending,,Facebook,1098.9,1098.9,True
2024-03-02,C85929,Printer,798 Main St,Credit Card,Delivered,FREESHIP,Google,440.73,440.73,True
2025-04-30,C84645,Tablet,404 Main St,Credit Card,Returned,,Instagram,822.98,822.98,True
2025-05-06,C46316,Laptop,893 Main St,Credit Card,Cancelled,SAVE10,Google,930.36,930.36,True
2024-12-15,C35100,Phone,139 Main St,Credit Card,Cancelled,WINTER15,Google,639.82,639.82,True
2023-12-27,C39671,Laptop,174 Main St,Debit Card,Delivered,,Facebook,217.56,217.56,True
2023-12-13,C25503,Phone,981 Main St,Debit Card,Returned,WINTER15,Google,211.14,211.14,True
2023-12-01,C32960,Printer,947 Main St,Debit Card,Returned,,Email,2223.8,2223.8,True
2025-01-02,C77736,Chair,659 Main St,Cash,Cancelled,FREESHIP,Referral,798.08,798.08,True
2024-12-18,C71570,Chair,437 Main St,Online,Returned,WINTER15,Instagram,2137.92,2137.92,True
2023-07-20,C73587,Phone,727 Main St,Credit Card,Pending,,Instagram,1632.84,1632.84,True
2023-02-27,C62740,Phone,446 Main St,Online,Shipped,WINTER15,Referral,424.4,424.4,True
2024-11-08,C58808,Chair,651 Main St,Online,Delivered,SAVE10,Email,539.66,539.66,True
2025-02-21,C50422,Monitor,636 Main St,Online,Returned,WINTER15,Facebook,1129.16,1129.16,True
2024-05-16,C23334,Tablet,737 Main St,Credit Card,Pending,WINTER15,Instagram,331.06,331.06,True
2023-10-31,C48965,Printer,819 Main St,Credit Card,Cancelled,WINTER15,Email,299.35,299.35,True
2023-02-17,C38669,Monitor,240 Main St,Cash,Pending,,Referral,405.28,405.28,True
2024-03-29,C35091,Monitor,513 Main St,Credit Card,Cancelled,SAVE10,Facebook,211.14,211.14,True
2023-07-27,C82313,Chair,917 Main St,Online,Pending,WINTER15,Google,197.58,197.58,True
2025-06-24,C99589,Tablet,277 Main St,Online,Cancelled,,Referral,641.39,641.39,True
2023-12-28,C70566,Desk,667 Main St,Gift Card,Pending,SAVE10,Google,2682.9,2682.9,True
2024-09-14,C60355,Monitor,226 Main St,Online,Returned,WINTER15,Google,1000.58,1000.58,True
2025-03-04,C28889,Chair,565 Main St,Cash,Delivered,WINTER15,Instagram,258.87,258.87,True
2023-05-27,C88304,Chair,219 Main St,Online,Returned,WINTER15,Email,768.28,768.28,True
2025-01-04,C49517,Printer,878 Main St,Cash,Returned,,Facebook,594.96,594.96,True
2024-04-07,C35785,Printer,732 Main St,Online,Delivered,WINTER15,Email,427.82,427.82,True
2025-04-04,C80223,Desk,535 Main St,Cash,Cancelled,SAVE10,Instagram,2651.76,2651.76,True
2023-08-15,C20448,Tablet,336 Main St,Credit Card,Delivered,WINTER15,Instagram,296.44,296.44,True
2025-04-06,C34134,Printer,365 Main St,Online,Delivered,WINTER15,Email,254.12,254.12,True
2024-03-24,C95901,Phone,806 Main St,Online,Delivered,FREESHIP,Google,1993.38,1993.38,True
2024-04-16,C51145,Printer,790 Main St,Debit Card,Delivered,SAVE10,Email,2403.24,2403.24,True
2025-02-08,C78170,Chair,332 Main St,Debit Card,Pending,WINTER15,Referral,341.7,341.7,True
2025-06-28,C80151,Tablet,553 Main St,Gift Card,Pending,WINTER15,Referral,1723.32,1723.32,True
2023-08-05,C55632,Chair,354 Main St,Credit Card,Pending,,Facebook,2158.45,2158.45,True
2024-04-11,C53070,Chair,283 Main St,Online,Delivered,SAVE10,Google,2048.24,2048.24,True
2024-11-24,C27401,Laptop,500 Main St,Credit Card,Delivered,,Email,1619.73,1619.73,True
2023-03-18,C87216,Tablet,970 Main St,Cash,Returned,,Google,1580.35,1580.35,True
2024-08-31,C38966,Printer,247 Main St,Online,Shipped,,Referral,2021.95,2021.95,True
2025-03-19,C16612,Desk,596 Main St,Debit Card,Pending,WINTER15,Google,600.54,600.54,True
2024-04-18,C39246,Monitor,258 Main St,Debit Card,Delivered,SAVE10,Email,931.4,931.4,True
2024-04-04,C65180,Tablet,231 Main St,Gift Card,Cancelled,,Referral,858.16,858.16,True
2025-02-02,C46877,Laptop,572 Main St,Online,Shipped,WINTER15,Referral,210.7,210.7,True
2023-12-07,C30334,Phone,322 Main St,Cash,Pending,FREESHIP,Facebook,267.1,267.1,True
2023-02-08,C21227,Chair,689 Main St,Gift Card,Returned,FREESHIP,Referral,590.87,590.87,True
2025-03-15,C97715,Chair,927 Main St,Gift Card,Shipped,FREESHIP,Referral,727.82,727.82,True
2023-07-05,C48939,Printer,597 Main St,Gift Card,Cancelled,WINTER15,Email,2147.25,2147.25,True
2024-08-31,C35483,Printer,725 Main St,Cash,Returned,SAVE10,Email,671.1,671.1,True
2025-03-08,C51494,Laptop,505 Main St,Online,Cancelled,FREESHIP,Google,977.74,977.74,True
2023-08-11,C58410,Desk,151 Main St,Gift Card,Cancelled,SAVE10,Google,645.46,645.46,True
2023-07-21,C11644,Printer,429 Main St,Cash,Cancelled,,Google,46.66,46.66,True
2024-06-08,C53501,Monitor,899 Main St,Cash,Shipped,FREESHIP,Google,249.57,249.57,True
2024-04-22,C63619,Chair,801 Main St,Debit Card,Cancelled,,Email,1857.63,1857.63,True
2025-01-24,C40882,Desk,719 Main St,Cash,Delivered,WINTER15,Email,868.52,868.52,True
2023-08-27,C80135,Laptop,723 Main St,Cash,Returned,WINTER15,Referral,1107.55,1107.55,True
2024-06-11,C37594,Laptop,926 Main St,Cash,Cancelled,SAVE10,Referral,1361.2,1361.2,True
2025-01-23,C87524,Phone,358 Main St,Online,Returned,WINTER15,Google,625.0,625.0,True
2025-06-07,C97681,Tablet,895 Main St,Credit Card,Delivered,SAVE10,Google,2166.3,2166.3,True
2023-06-18,C10126,Monitor,146 Main St,Online,Shipped,SAVE10,Facebook,1349.8,1349.8,True
2025-02-06,C36938,Monitor,636 Main St,Credit Card,Cancelled,FREESHIP,Email,761.94,761.94,True
2025-01-21,C99173,Printer,172 Main St,Online,Shipped,SAVE10,Instagram,1070.52,1070.52,True
2023-09-05,C99775,Laptop,478 Main St,Gift Card,Cancelled,FREESHIP,Facebook,1654.84,1654.84,True
2023-03-04,C19266,Desk,609 Main St,Debit Card,Returned,,Email,442.17,442.17,True
2024-04-16,C31072,Laptop,729 Main St,Gift Card,Returned,WINTER15,Email,916.4,916.4,True
2025-03-18,C54595,Phone,999 Main St,Debit Card,Delivered,,Google,121.96,121.96,True
2024-10-08,C87777,Desk,597 Main St,Online,Shipped,FREESHIP,Facebook,816.64,816.64,True
2023-08-29,C35854,Tablet,706 Main St,Cash,Returned,SAVE10,Google,939.85,939.85,True
2024-12-05,C93821,Chair,513 Main St,Gift Card,Delivered,FREESHIP,Facebook,1075.44,1075.44,True
2025-01-03,C54390,Printer,185 Main St,Gift Card,Pending,FREESHIP,Email,580.74,580.74,True
2023-06-20,C53215,Monitor,367 Main St,Credit Card,Cancelled,WINTER15,Email,265.38,265.38,True
2023-04-20,C71122,Laptop,317 Main St,Cash,Cancelled,SAVE10,Email,634.4,634.4,True
2024-08-21,C29483,Desk,673 Main St,Online,Delivered,,Facebook,1222.88,1222.88,True
2023-08-10,C26767,Printer,432 Main St,Cash,Shipped,FREESHIP,Facebook,303.6,303.6,True
2025-04-15,C70492,Monitor,811 Main St,Online,Cancelled,WINTER15,Google,1984.0,1984.0,True
2024-05-20,C61549,Desk,908 Main St,Cash,Returned,,Google,1286.04,1286.04,True
2023-04-28,C11665,Tablet,882 Main St,Gift Card,Shipped,SAVE10,Instagram,337.38,337.38,True
2025-05-02,C48946,Laptop,457 Main St,Cash,Delivered,SAVE10,Email,309.85,309.85,True
2023-07-18,C79506,Laptop,497 Main St,Credit Card,Pending,SAVE10,Referral,746.34,746.34,True
2024-02-23,C93473,Tablet,552 Main St,Debit Card,Pending,SAVE10,Google,3196.85,3196.85,True
2023-05-04,C43124,Chair,931 Main St,Online,Shipped,,Instagram,2773.44,2773.44,True
2024-09-11,C22783,Phone,673 Main St,Credit Card,Pending,SAVE10,Instagram,2771.64,2771.64,True
2023-09-23,C18567,Printer,507 Main St,Cash,Cancelled,SAVE10,Referral,365.84,365.84,True
2024-03-13,C99879,Phone,692 Main St,Debit Card,Returned,SAVE10,Google,821.88,821.88,True
2025-06-27,C31501,Desk,242 Main St,Gift Card,Delivered,,Instagram,1764.15,1764.15,True
2023-11-02,C93220,Monitor,353 Main St,Online,Cancelled,FREESHIP,Facebook,730.34,730.34,True
2023-05-17,C57867,Chair,579 Main St,Credit Card,Cancelled,,Instagram,1543.68,1543.68,True
2025-03-28,C62622,Tablet,762 Main St,Credit Card,Delivered,WINTER15,Facebook,562.61,562.61,True
2023-12-16,C94595,Desk,948 Main St,Gift Card,Delivered,WINTER15,Email,247.64,247.64,True
2023-11-05,C30955,Phone,327 Main St,Gift Card,Pending,FREESHIP,Instagram,167.6,167.6,True
2023-05-19,C20731,Printer,610 Main St,Debit Card,Cancelled,WINTER15,Google,1777.76,1777.76,True
2024-08-24,C30168,Phone,146 Main St,Cash,Cancelled,WINTER15,Instagram,933.99,933.99,True
2024-11-26,C79842,Printer,337 Main St,Debit Card,Pending,SAVE10,Google,945.64,945.64,True
2023-02-20,C32854,Desk,815 Main St,Cash,Pending,WINTER15,Google,65.45,65.45,True
2023-01-01,C14847,Monitor,562 Main St,Debit Card,Pending,WINTER15,Email,318.81,318.81,True
2024-03-14,C88645,Monitor,783 Main St,Credit Card,Shipped,FREESHIP,Facebook,1751.16,1751.16,True
2024-12-13,C66149,Desk,770 Main St,Credit Card,Pending,WINTER15,Google,1537.28,1537.28,True
2024-12-11,C20256,Tablet,456 Main St,Online,Shipped,FREESHIP,Email,1616.22,1616.22,True
2023-07-12,C14983,Tablet,255 Main St,Online,Pending,FREESHIP,Instagram,17.24,17.24,True
2023-05-16,C20817,Chair,407 Main St,Online,Pending,SAVE10,Email,3078.35,3078.35,True
2023-05-09,C94921,Printer,134 Main St,Online,Pending,SAVE10,Referral,438.2,438.2,True
2025-05-09,C54725,Chair,506 Main St,Online,Cancelled,FREESHIP,Google,289.32,289.32,True
2023-02-16,C98096,Desk,838 Main St,Debit Card,Cancelled,WINTER15,Facebook,635.54,635.54,True
2025-04-20,C12667,Laptop,306 Main St,Online,Returned,,Facebook,223.3,223.3,True
2024-08-30,C55354,Desk,164 Main St,Gift Card,Shipped,WINTER15,Instagram,684.22,684.22,True
2023-07-20,C14600,Printer,785 Main St,Gift Card,Shipped,,Email,441.8,441.8,True
2023-07-02,C97187,Laptop,471 Main St,Cash,Shipped,FREESHIP,Referral,670.54,670.54,True
2024-02-07,C39106,Printer,245 Main St,Cash,Pending,FREESHIP,Referral,546.19,546.19,True
2023-04-05,C93379,Desk,318 Main St,Gift Card,Returned,SAVE10,Email,128.85,128.85,True
2025-05-15,C93175,Monitor,814 Main St,Cash,Cancelled,,Email,58.76,58.76,True
2024-09-20,C19648,Phone,821 Main St,Gift Card,Cancelled,FREESHIP,Facebook,2673.44,2673.44,True
2024-03-23,C14891,Chair,743 Main St,Gift Card,Returned,FREESHIP,Instagram,1654.96,1654.96,True
2023-12-26,C10866,Monitor,770 Main St,Online,Delivered,,Instagram,789.57,789.57,True
2024-05-13,C47283,Monitor,806 Main St,Gift Card,Returned,SAVE10,Google,263.96,263.96,True
2025-06-30,C94323,Chair,463 Main St,Gift Card,Returned,WINTER15,Instagram,379.05,379.05,True
2024-04-23,C89732,Phone,712 Main St,Credit Card,Cancelled,SAVE10,Referral,406.22,406.22,True
2024-02-26,C87764,Tablet,294 Main St,Online,Shipped,FREESHIP,Referral,206.82,206.82,True
2023-06-11,C20977,Chair,636 Main St,Credit Card,Delivered,SAVE10,Instagram,1740.48,1740.48,True
2023-05-17,C12245,Monitor,153 Main St,Debit Card,Shipped,,Google,815.58,815.58,True
2025-05-28,C68976,Phone,460 Main St,Gift Card,Delivered,SAVE10,Email,868.25,868.25,True
2023-01-10,C69476,Phone,642 Main St,Credit Card,Returned,WINTER15,Referral,996.28,996.28,True
2023-03-25,C71040,Phone,250 Main St,Credit Card,Pending,WINTER15,Google,1739.4,1739.4,True
2024-08-03,C71035,Tablet,977 Main St,Cash,Returned,FREESHIP,Google,436.77,436.77,True
2023-12-22,C20752,Printer,150 Main St,Debit Card,Cancelled,SAVE10,Google,572.13,572.13,True
2024-06-08,C38840,Chair,589 Main St,Credit Card,Cancelled,FREESHIP,Referral,2332.28,2332.28,True
2025-04-17,C84480,Chair,803 Main St,Debit Card,Delivered,,Facebook,2342.55,2342.55,True
2023-08-11,C37032,Phone,655 Main St,Debit Card,Delivered,SAVE10,Referral,847.76,847.76,True
2023-11-25,C48942,Tablet,129 Main St,Credit Card,Pending,FREESHIP,Google,2654.68,2654.68,True
2023-06-04,C13540,Printer,127 Main St,Debit Card,Shipped,WINTER15,Google,1239.64,1239.64,True
2023-03-28,C59572,Monitor,791 Main St,Cash,Shipped,WINTER15,Referral,542.07,542.07,True
